model_name,instrument_type,entry_date,exit_date,entry_premium,exit_premium,multiplier,dollar_pnl,exit_reason
hmm_v3_1_meta_blend,SHORT_CALL,2026-03-03,2026-03-04,1.76,0.0,100,176.05,expiration
hmm_v3_1_meta_blend,SHORT_CALL,2026-03-04,2026-03-05,1.9,0.0,100,190.14,expiration
hmm_v3_1_meta_blend,SHORT_CALL,2026-03-05,2026-03-06,1.8,4.21,100,-241.31,underlying_touch
hmm_v3_1_meta_blend,SHORT_CALL,2026-03-06,2026-03-09,2.15,0.0,100,215.28,expiration
hmm_v3_1_meta_blend,SHORT_CALL,2026-03-09,2026-03-10,2.45,0.38,100,206.24,profit_exit
hmm_v3_1_meta_blend,SHORT_CALL,2026-03-10,2026-03-11,2.13,4.45,100,-232.56,underlying_touch
hmm_v3_1_meta_blend,SHORT_CALL,2026-03-11,2026-03-12,2.04,0.0,100,203.55,expiration
hmm_v3_1_meta_blend,SHORT_CALL,2026-03-12,2026-03-13,2.21,0.0,100,220.68,expiration
hmm_v3_1_meta_blend,SHORT_CALL,2026-03-13,2026-03-16,2.4,0.45,100,194.74,profit_exit
hmm_v3_1_meta_blend,SHORT_CALL,2026-03-16,2026-03-17,2.25,0.0,100,224.75,expiration
hmm_v3_1_meta_blend,SHORT_CALL,2026-03-17,2026-03-18,2.07,4.95,100,-288.61,underlying_touch
hmm_v3_1_meta_blend,SHORT_CALL,2026-03-18,2026-03-19,1.84,0.0,100,184.36,expiration
hmm_v3_1_meta_blend,SHORT_CALL,2026-03-19,2026-03-20,2.18,0.35,100,183.06,profit_exit
hmm_v3_1_meta_blend,SHORT_CALL,2026-03-20,2026-03-23,1.88,0.0,100,187.89,expiration
hmm_v3_1_meta_blend,SHORT_CALL,2026-03-23,2026-03-24,2.08,0.37,100,170.52,profit_exit
hmm_v3_1_meta_blend,SHORT_CALL,2026-03-24,2026-03-25,2.1,5.16,100,-305.64,underlying_touch
hmm_v3_1_meta_blend,SHORT_CALL,2026-03-25,2026-03-26,2.2,0.0,100,220.0,expiration
hmm_v3_1_meta_blend,SHORT_CALL,2026-03-26,2026-03-27,2.2,0.0,100,219.85,expiration
hmm_v3_1_meta_blend,SHORT_CALL,2026-03-27,2026-03-30,2.42,0.0,100,241.88,expiration
hmm_v4_path_aware_meta,SHORT_CALL,2026-03-02,2026-03-03,1.63,0.0,100,162.69,expiration
hmm_v4_path_aware_meta,SHORT_CALL,2026-03-03,2026-03-04,1.76,0.0,100,176.05,expiration
hmm_v4_path_aware_meta,SHORT_CALL,2026-03-04,2026-03-05,1.9,0.0,100,190.14,expiration
hmm_v4_path_aware_meta,SHORT_CALL,2026-03-05,2026-03-06,1.8,4.21,100,-241.31,underlying_touch
hmm_v4_path_aware_meta,SHORT_CALL,2026-03-06,2026-03-09,2.15,0.0,100,215.28,expiration
hmm_v4_path_aware_meta,SHORT_CALL,2026-03-09,2026-03-10,2.45,0.38,100,206.24,profit_exit
hmm_v4_path_aware_meta,SHORT_CALL,2026-03-10,2026-03-11,2.13,4.45,100,-232.56,underlying_touch
hmm_v4_path_aware_meta,SHORT_CALL,2026-03-11,2026-03-12,2.04,0.0,100,203.55,expiration
hmm_v4_path_aware_meta,SHORT_CALL,2026-03-12,2026-03-13,2.21,0.0,100,220.68,expiration
hmm_v4_path_aware_meta,SHORT_CALL,2026-03-13,2026-03-16,2.4,0.45,100,194.74,profit_exit
hmm_v4_path_aware_meta,LEAP,2026-03-02,2026-03-17,100.0,79.8,100,-2020.23,leap_stop_loss
hmm_v4_path_aware_meta,SHORT_CALL,2026-03-16,2026-03-17,2.25,0.0,100,224.75,expiration
hmm_v4_path_aware_meta,SHORT_CALL,2026-03-18,2026-03-19,1.84,0.0,100,184.36,expiration
hmm_v4_path_aware_meta,SHORT_CALL,2026-03-19,2026-03-20,2.18,0.35,100,183.06,profit_exit
hmm_v4_path_aware_meta,SHORT_CALL,2026-03-20,2026-03-23,1.88,0.0,100,187.89,expiration
hmm_v4_path_aware_meta,SHORT_CALL,2026-03-23,2026-03-24,2.08,0.37,100,170.52,profit_exit
hmm_v4_path_aware_meta,SHORT_CALL,2026-03-24,2026-03-25,2.1,5.16,100,-305.64,underlying_touch
hmm_v4_path_aware_meta,SHORT_CALL,2026-03-25,2026-03-26,2.2,0.0,100,220.0,expiration
hmm_v4_path_aware_meta,SHORT_CALL,2026-03-26,2026-03-27,2.2,0.0,100,219.85,expiration
hmm_v4_path_aware_meta,SHORT_CALL,2026-03-27,2026-03-30,2.42,0.0,100,241.88,expiration
